"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 QK5)","2023-Aug-29 08:56 ± < 00:01","0.01008","0.01004","6.81","6.78","27.5","8.3 m -   19 m","0"
"(2023 QD2)","2023-Aug-29 23:34 ±    00:05","0.00841","0.00838","7.77","7.73","26.9","11 m -   25 m","0"
"(2023 SA2)","2023-Aug-30 00:56 ± < 00:01","0.12566","0.12565","5.17","5.17","22.8","75 m -  170 m","0"
"(2023 TR5)","2023-Aug-30 04:07 ±    01:17","0.16149","0.15964","5.86","5.86","23.5","54 m -  120 m","0"
"(2024 CL3)","2023-Aug-30 13:44 ±    01:08","0.17043","0.16997","5.33","5.33","26.3","14 m -   32 m","0"
"(2023 RW1)","2023-Aug-30 17:17 ± < 00:01","0.06749","0.06698","6.25","6.25","25.5","21 m -   47 m","0"
"(2023 OS8)","2023-Aug-30 18:49 ± < 00:01","0.11726","0.11725","6.17","6.16","23.7","49 m -  110 m","0"
"(2023 QQ4)","2023-Aug-30 19:22 ±    00:09","0.13799","0.13699","5.49","5.48","25.0","27 m -   60 m","0"
"(2010 WH3)","2023-Aug-30 21:22 ± < 00:01","0.16281","0.16281","8.58","8.58","20.9","180 m -  400 m","0"
"(2012 PZ17)","2023-Aug-30 21:46 ± 2_22:04","0.04300","0.03716","3.58","3.56","26.7","12 m -   27 m","0"
"(2023 OR4)","2023-Aug-30 22:38 ± < 00:01","0.19603","0.19601","4.69","4.68","22.8","74 m -  170 m","0"
"(2021 RN1)","2023-Aug-31 07:26 ± < 00:01","0.10928","0.10928","21.34","21.33","22.3","92 m -  210 m","0"
"(2023 RW)","2023-Aug-31 09:11 ± < 00:01","0.05059","0.05004","14.66","14.66","25.4","23 m -   50 m","0"
"(2023 RE1)","2023-Aug-31 10:07 ±    00:01","0.14096","0.14039","16.09","16.09","23.3","58 m -  130 m","0"
"(2023 RN1)","2023-Aug-31 10:39 ± < 00:01","0.03563","0.03552","6.41","6.40","25.2","25 m -   55 m","0"
"(2023 QH)","2023-Aug-31 12:27 ± < 00:01","0.03072","0.03046","15.91","15.90","23.7","48 m -  110 m","0"
"(2019 NC1)","2023-Aug-31 17:10 ± < 00:01","0.10494","0.10494","6.35","6.35","21.4","140 m -  310 m","0"
"(2019 QV7)","2023-Aug-31 22:53 ± < 00:01","0.17672","0.17671","30.03","30.03","22.0","110 m -  240 m","0"
"(2023 RE6)","2023-Aug-31 22:54 ± < 00:01","0.08775","0.08774","19.08","19.08","20.9","170 m -  380 m","0"
"(2023 QR4)","2023-Sep-01 00:53 ± < 00:01","0.09103","0.09076","9.78","9.78","24.3","37 m -   83 m","0"
"(2021 RR4)","2023-Sep-01 04:35 ± 6_03:38","0.13668","0.07755","9.03","9.02","26.9","11 m -   25 m","0"
"(2023 RF)","2023-Sep-01 06:40 ±    00:02","0.02616","0.02592","7.23","7.21","23.7","48 m -  110 m","0"
"(2023 QB2)","2023-Sep-01 08:02 ± < 00:01","0.02076","0.02068","7.17","7.15","26.3","15 m -   33 m","0"
"154029 (2002 CY46)","2023-Sep-01 08:25 ± < 00:01","0.19883","0.19883","23.85","23.85","16.5","1.119±0.045 km","1"
"(2021 RY3)","2023-Sep-01 08:41 ± 2_12:17","0.08534","0.07685","9.70","9.70","25.7","20 m -   44 m","0"
"(2023 SA3)","2023-Sep-01 10:33 ±    00:04","0.13865","0.13767","10.67","10.67","23.6","50 m -  110 m","0"
"(2023 QZ1)","2023-Sep-01 15:16 ± < 00:01","0.04660","0.04609","18.63","18.63","24.1","39 m -   88 m","0"
"(2021 PZ9)","2023-Sep-01 16:26 ± 2_09:16","0.15553","0.15297","4.81","4.80","26.9","11 m -   24 m","0"
"(2023 QU)","2023-Sep-02 00:01 ± < 00:01","0.03487","0.03471","9.82","9.81","25.1","25 m -   56 m","0"
"(2023 RD)","2023-Sep-02 06:22 ±    00:06","0.00273","0.00272","18.30","18.25","26.8","11 m -   25 m","1"
"(2017 BY32)","2023-Sep-02 09:16 ± 2_05:16","0.04274","0.03820","3.43","3.42","26.5","14 m -   30 m","0"
"(2022 SC6)","2023-Sep-02 14:34 ± < 00:01","0.16007","0.16006","24.97","24.97","22.4","90 m -  200 m","0"
"(2023 RX1)","2023-Sep-02 19:15 ±    00:03","0.00524","0.00523","1.68","1.34","30.3","2.4 m -  5.3 m","0"
"(2023 RW15)","2023-Sep-02 21:24 ± < 00:01","0.11864","0.11855","13.08","13.08","22.5","83 m -  190 m","0"
"(2023 TY2)","2023-Sep-02 21:44 ±    09:07","0.09522","0.08740","13.02","13.01","23.3","57 m -  130 m","0"
"(2023 RT2)","2023-Sep-03 04:10 ±    00:02","0.01764","0.01750","13.97","13.96","25.4","22 m -   48 m","0"
"(2021 OC1)","2023-Sep-03 06:39 ±    18:16","0.12127","0.12052","9.34","9.34","26.9","11 m -   25 m","0"
"(2023 QG)","2023-Sep-03 06:43 ± < 00:01","0.02963","0.02960","13.70","13.69","23.4","56 m -  130 m","0"
"(2023 RH1)","2023-Sep-03 11:23 ±    00:01","0.01893","0.01885","7.52","7.50","26.6","13 m -   28 m","0"
"(2023 CD)","2023-Sep-03 12:48 ±    00:02","0.14674","0.14674","6.86","6.86","24.1","41 m -   91 m","0"
"(2023 RB5)","2023-Sep-03 15:41 ± < 00:01","0.04992","0.04968","10.19","10.18","24.3","36 m -   81 m","0"
"(2023 QH1)","2023-Sep-03 16:36 ±    00:01","0.03347","0.03330","6.35","6.34","25.9","17 m -   39 m","0"
"(2023 RC6)","2023-Sep-03 17:15 ± < 00:01","0.10680","0.10640","7.35","7.34","24.7","31 m -   68 m","0"
"(2023 RF2)","2023-Sep-03 19:31 ±    00:23","0.16912","0.16382","13.41","13.40","24.1","40 m -   90 m","0"
"(2023 RT)","2023-Sep-03 19:44 ± < 00:01","0.06855","0.06786","10.35","10.34","25.2","24 m -   54 m","0"
"(2023 QS4)","2023-Sep-03 21:18 ±    00:13","0.06157","0.06109","3.90","3.89","26.6","13 m -   29 m","0"
"(2023 QL1)","2023-Sep-03 21:57 ± < 00:01","0.07335","0.07335","20.67","20.67","21.1","160 m -  360 m","0"
"(2023 RR9)","2023-Sep-04 04:46 ±    00:23","0.01997","0.01987","7.56","7.54","26.0","17 m -   37 m","0"
"(2023 RH10)","2023-Sep-04 07:25 ± < 00:01","0.07594","0.07497","11.97","11.97","24.5","34 m -   76 m","0"
"(2023 RU12)","2023-Sep-04 12:49 ±    00:01","0.04987","0.04940","29.74","29.74","22.2","98 m -  220 m","0"
"(2023 QT)","2023-Sep-04 18:33 ±    01:18","0.05503","0.05439","7.68","7.68","25.3","23 m -   52 m","0"
"(2023 RF1)","2023-Sep-04 19:33 ± < 00:01","0.00625","0.00625","6.43","6.36","25.9","18 m -   40 m","0"
"(2021 QL1)","2023-Sep-04 19:42 ± < 00:01","0.13268","0.13268","10.61","10.61","24.0","41 m -   92 m","0"
"(2016 GJ134)","2023-Sep-04 20:09 ±    00:02","0.13389","0.13388","16.70","16.70","23.5","53 m -  120 m","0"
"(2010 LU134)","2023-Sep-05 01:34 ±    00:01","0.15058","0.15058","19.27","19.27","19.3","0.317±0.031 km","0"
"(2023 RV1)","2023-Sep-05 04:46 ± < 00:01","0.01730","0.01718","19.39","19.38","26.1","16 m -   36 m","0"
"(2022 SU7)","2023-Sep-05 06:29 ±    02:18","0.11241","0.11237","3.16","3.15","28.3","5.8 m -   13 m","0"
"(2023 RC8)","2023-Sep-05 09:36 ±    00:44","0.15701","0.15325","18.94","18.94","21.9","110 m -  250 m","0"
"(2023 RZ15)","2023-Sep-05 11:21 ± < 00:01","0.09519","0.09303","23.43","23.42","23.6","51 m -  110 m","0"
"(2023 RM16)","2023-Sep-05 12:58 ± < 00:01","0.00234","0.00234","8.68","8.55","28.9","4.4 m -  9.9 m","0"
"(2023 RP3)","2023-Sep-05 13:08 ± < 00:01","0.04978","0.04950","7.25","7.24","25.2","24 m -   53 m","0"
"(2023 RY4)","2023-Sep-05 16:20 ±    00:03","0.03233","0.03152","13.70","13.70","25.4","22 m -   48 m","0"
"(2023 RW3)","2023-Sep-05 17:36 ± < 00:01","0.02484","0.02471","5.34","5.32","26.5","13 m -   30 m","0"
"(2017 BU)","2023-Sep-05 18:28 ± < 00:01","0.14354","0.14354","12.10","12.10","25.2","24 m -   54 m","0"
"(2023 RZ3)","2023-Sep-05 18:52 ± < 00:01","0.03483","0.03455","19.06","19.06","25.7","19 m -   43 m","0"
"(1998 QK28)","2023-Sep-05 19:13 ± < 00:01","0.08750","0.08750","11.90","11.90","19.5","330 m -  730 m","1"
"(2023 SC)","2023-Sep-05 21:39 ± < 00:01","0.05304","0.05233","10.41","10.41","25.2","24 m -   53 m","0"
"(2023 RU1)","2023-Sep-05 23:23 ± < 00:01","0.04179","0.04157","5.62","5.61","26.5","13 m -   30 m","0"
"(2023 RW5)","2023-Sep-06 03:16 ±    00:01","0.01446","0.01428","9.62","9.60","25.4","22 m -   49 m","0"
"(2023 SV)","2023-Sep-06 05:38 ± < 00:01","0.11184","0.11146","10.20","10.20","24.9","28 m -   63 m","0"
"(2023 RQ)","2023-Sep-06 05:47 ± < 00:01","0.02133","0.02125","20.21","20.21","24.3","37 m -   83 m","0"
"(2023 RN16)","2023-Sep-06 08:01 ± < 00:01","0.03266","0.03253","10.03","10.02","25.7","19 m -   43 m","0"
"(2023 RA3)","2023-Sep-06 08:15 ±    00:05","0.01247","0.01241","10.09","10.07","26.2","15 m -   34 m","0"
"(2022 JW2)","2023-Sep-06 09:26 ±    01:44","0.18819","0.18793","9.73","9.73","25.2","24 m -   54 m","0"
"(2023 RK6)","2023-Sep-06 18:18 ± < 00:01","0.02942","0.02929","19.06","19.05","25.7","20 m -   44 m","0"
"(2023 RH3)","2023-Sep-06 19:43 ± < 00:01","0.02491","0.02483","9.41","9.40","26.3","14 m -   32 m","0"
"(2023 RL9)","2023-Sep-06 19:54 ± < 00:01","0.15757","0.15754","4.71","4.70","23.5","53 m -  120 m","0"
"(2023 RF156)","2023-Sep-06 20:33 ± < 00:01","0.00242","0.00242","8.10","7.96","29.7","3.1 m -  7.0 m","0"
"(2023 RZ2)","2023-Sep-06 20:51 ± < 00:01","0.00472","0.00469","8.62","8.56","27.1","9.9 m -   22 m","0"
"(2021 JA5)","2023-Sep-06 21:32 ± 7_13:03","0.03415","0.03388","10.85","10.85","26.4","14 m -   31 m","0"
"(2023 RP1)","2023-Sep-06 23:39 ±    00:08","0.02889","0.02878","6.62","6.61","27.2","9.8 m -   22 m","0"
"(2023 RD6)","2023-Sep-07 00:19 ±    00:02","0.04319","0.04301","8.52","8.51","26.3","15 m -   33 m","0"
"(2023 RD16)","2023-Sep-07 01:01 ±    00:05","0.03631","0.03610","12.14","12.13","25.9","17 m -   39 m","0"
"(2023 RS1)","2023-Sep-07 04:19 ± < 00:01","0.01644","0.01641","9.05","9.03","24.0","42 m -   93 m","1"
"(2023 RX2)","2023-Sep-07 07:32 ± < 00:01","0.01716","0.01709","8.93","8.91","27.3","9.1 m -   20 m","0"
"(2023 RX4)","2023-Sep-07 11:47 ± < 00:01","0.00415","0.00414","11.09","11.03","27.5","8.5 m -   19 m","0"
"(2023 RS)","2023-Sep-07 14:26 ± < 00:01","0.00007","0.00007","13.59","10.38","32.3","0.91 m -  2.0 m","0"
"(2023 RS7)","2023-Sep-07 14:42 ± < 00:01","0.09833","0.09789","12.26","12.26","24.3","36 m -   81 m","0"
"(2023 RH5)","2023-Sep-07 14:47 ± < 00:01","0.05814","0.05784","10.18","10.17","25.4","23 m -   50 m","0"
"(2023 RN9)","2023-Sep-07 14:59 ±    00:05","0.00412","0.00411","5.64","5.53","28.2","6.2 m -   14 m","0"
"(2023 RC15)","2023-Sep-07 15:57 ±    00:02","0.05768","0.05677","17.42","17.41","24.7","30 m -   67 m","0"
"(2006 QE)","2023-Sep-07 15:59 ± < 00:01","0.15873","0.15873","17.92","17.91","19.7","310 m -  700 m","0"
"(2023 RG22)","2023-Sep-07 18:55 ±    00:39","0.00255","0.00250","11.20","11.11","26.1","16 m -   35 m","1"
"(2015 WX1)","2023-Sep-07 22:04 ± < 00:01","0.15431","0.15431","12.94","12.94","23.4","54 m -  120 m","0"
"(2021 GV7)","2023-Sep-07 22:12 ± < 00:01","0.15963","0.15963","16.20","16.20","22.3","92 m -  210 m","0"
"(2019 DJ1)","2023-Sep-07 23:16 ±    00:56","0.06590","0.06587","2.22","2.20","26.8","12 m -   26 m","0"
"523950 (1998 SZ27)","2023-Sep-07 23:19 ± < 00:01","0.06771","0.06771","17.19","17.19","20.2","250 m -  550 m","1"
"(2022 GM1)","2023-Sep-08 01:09 ±    02:18","0.10937","0.10911","3.06","3.05","25.7","20 m -   44 m","0"
"(2018 RN2)","2023-Sep-08 01:30 ±    01:50","0.14898","0.14668","15.27","15.27","24.5","33 m -   74 m","0"
"340291 (2006 CV)","2023-Sep-08 05:42 ± < 00:01","0.11402","0.11402","17.61","17.61","19.9","280 m -  630 m","0"
"(2023 RH6)","2023-Sep-08 06:05 ± < 00:01","0.08290","0.08238","19.30","19.30","24.2","39 m -   86 m","0"
"(2023 RQ2)","2023-Sep-08 06:33 ± < 00:01","0.00274","0.00273","16.24","16.18","28.4","5.5 m -   12 m","0"
"(2023 RY2)","2023-Sep-08 06:42 ± < 00:01","0.00127","0.00126","10.49","10.28","28.3","5.8 m -   13 m","0"
"(2023 QC5)","2023-Sep-08 10:08 ± < 00:01","0.02724","0.02723","7.59","7.58","25.6","20 m -   44 m","0"
"(2019 FM2)","2023-Sep-08 10:28 ± < 00:01","0.16811","0.16811","18.18","18.18","20.6","200 m -  450 m","0"
"(2023 RQ1)","2023-Sep-08 11:01 ±    00:15","0.09420","0.09270","13.77","13.77","24.4","34 m -   77 m","0"
"(2020 GE)","2023-Sep-08 12:49 ± < 00:01","0.03827","0.03827","1.45","1.40","28.2","6.2 m -   14 m","0"
"(2023 RH)","2023-Sep-08 18:15 ± < 00:01","0.01092","0.01091","19.12","19.11","25.5","21 m -   47 m","0"
"(2023 RY15)","2023-Sep-08 19:25 ± < 00:01","0.00398","0.00397","10.17","10.11","28.0","6.7 m -   15 m","0"
"(2023 SM3)","2023-Sep-08 19:56 ±    00:41","0.03807","0.03679","11.36","11.35","26.7","12 m -   27 m","0"
"(2023 RG)","2023-Sep-08 20:04 ± < 00:01","0.01101","0.01099","12.47","12.45","27.3","9.0 m -   20 m","0"
"(2023 RN5)","2023-Sep-08 20:06 ±    00:44","0.14329","0.14274","2.58","2.57","24.3","36 m -   81 m","0"
"(2023 QY3)","2023-Sep-08 21:26 ± < 00:01","0.19043","0.19037","9.88","9.88","23.1","64 m -  140 m","0"
"(2023 QK1)","2023-Sep-08 21:50 ± < 00:01","0.05858","0.05854","29.09","29.09","22.2","95 m -  210 m","0"
"(2021 QH2)","2023-Sep-08 23:06 ± < 00:01","0.13396","0.13395","7.40","7.39","25.1","26 m -   58 m","0"
"(2016 PQ8)","2023-Sep-09 00:06 ± < 00:01","0.11905","0.11904","9.27","9.27","22.1","100 m -  230 m","0"
"(2023 RM)","2023-Sep-09 01:06 ±    00:16","0.02201","0.02194","6.00","5.98","27.4","8.7 m -   20 m","0"
"(2023 SG4)","2023-Sep-09 01:11 ±    00:38","0.03021","0.02973","7.55","7.53","24.4","35 m -   78 m","0"
"(2023 RE2)","2023-Sep-09 02:27 ±    00:03","0.15269","0.15239","7.49","7.49","23.6","50 m -  110 m","0"
"(2023 RF4)","2023-Sep-09 03:05 ± < 00:01","0.01174","0.01172","10.96","10.94","25.3","24 m -   53 m","0"
"(2022 OB10)","2023-Sep-09 04:30 ±    00:37","0.12265","0.12188","13.36","13.36","23.0","67 m -  150 m","0"
"(2023 RL)","2023-Sep-09 07:00 ± < 00:01","0.00505","0.00504","5.38","5.28","28.4","5.4 m -   12 m","0"
"(2019 SN)","2023-Sep-09 07:10 ± < 00:01","0.09084","0.09083","9.21","9.20","25.5","21 m -   46 m","0"
"(2023 RO6)","2023-Sep-09 07:32 ±    00:02","0.01421","0.01413","12.69","12.68","26.7","12 m -   27 m","0"
"(2018 RZ3)","2023-Sep-09 08:23 ±    00:01","0.07447","0.07447","15.27","15.26","23.9","44 m -   97 m","0"
"(2004 XK3)","2023-Sep-09 10:47 ±    00:03","0.09539","0.09539","5.35","5.34","24.5","34 m -   76 m","0"
"(2023 RK5)","2023-Sep-09 10:47 ± < 00:01","0.00188","0.00188","10.12","9.98","29.1","4.0 m -  9.0 m","0"
"(2023 RK10)","2023-Sep-09 12:14 ± < 00:01","0.07644","0.07644","0.33","0.20","26.3","15 m -   33 m","0"
"(2023 SN)","2023-Sep-09 13:57 ±    00:13","0.01289","0.01282","12.04","12.02","26.5","13 m -   30 m","0"
"(2023 RX)","2023-Sep-09 14:46 ± < 00:01","0.00795","0.00792","11.54","11.51","27.3","9.2 m -   21 m","0"
"(2023 RG3)","2023-Sep-09 17:49 ± < 00:01","0.06594","0.06553","8.67","8.67","24.9","28 m -   63 m","0"
"(2021 RU7)","2023-Sep-09 21:02 ± < 00:01","0.18224","0.18224","11.21","11.21","23.5","54 m -  120 m","0"
"(2023 SJ5)","2023-Sep-09 21:43 ±    00:17","0.03332","0.03294","15.77","15.76","24.2","39 m -   86 m","0"
"(2023 RB1)","2023-Sep-10 03:19 ±    00:05","0.03902","0.03854","8.70","8.69","26.7","12 m -   27 m","0"
"(2023 RL7)","2023-Sep-10 05:08 ±    00:01","0.01304","0.01300","11.55","11.53","27.2","9.6 m -   21 m","0"
"(2023 RS29)","2023-Sep-10 06:55 ± < 00:01","0.02379","0.02368","5.99","5.97","27.5","8.3 m -   19 m","0"
"(2023 SP2)","2023-Sep-10 07:04 ±    00:25","0.01479","0.01460","4.86","4.82","28.2","6.0 m -   13 m","0"
"(2023 RF11)","2023-Sep-10 07:18 ± < 00:01","0.00788","0.00785","12.45","12.42","27.5","8.5 m -   19 m","0"
"(2021 LV2)","2023-Sep-10 08:58 ±    06:56","0.11080","0.10837","10.03","10.03","25.3","23 m -   52 m","0"
"(2022 RS1)","2023-Sep-10 10:03 ±    00:21","0.19063","0.19034","8.38","8.38","27.8","7.3 m -   16 m","0"
"(2023 RP2)","2023-Sep-10 13:12 ± < 00:01","0.00323","0.00323","9.12","9.03","27.2","9.7 m -   22 m","0"
"(2023 RJ)","2023-Sep-10 13:14 ± < 00:01","0.03621","0.03602","20.14","20.14","24.7","31 m -   69 m","0"
"(2023 RX36)","2023-Sep-10 17:09 ± < 00:01","0.09010","0.09006","5.83","5.83","24.4","35 m -   79 m","0"
"(2023 UQ3)","2023-Sep-10 17:15 ±    07:19","0.06773","0.06691","5.04","5.03","25.0","26 m -   59 m","0"
"(2018 RC)","2023-Sep-10 18:12 ± < 00:01","0.15155","0.15152","9.63","9.63","24.9","27 m -   61 m","0"
"(2015 FG36)","2023-Sep-10 19:02 ± < 00:01","0.13399","0.13399","9.16","9.15","23.8","46 m -  100 m","0"
"(2024 GR)","2023-Sep-10 19:24 ±    01:08","0.11874","0.11833","2.53","2.52","27.8","7.5 m -   17 m","0"
"(2023 QE8)","2023-Sep-10 22:03 ± < 00:01","0.01017","0.01015","14.46","14.44","24.0","42 m -   94 m","1"
"(2021 ED2)","2023-Sep-10 22:08 ±    00:34","0.11820","0.11578","7.20","7.19","28.7","4.8 m -   11 m","0"
"(2023 QF6)","2023-Sep-10 23:21 ±    20:56","0.01780","0.01729","10.46","10.45","26.1","16 m -   35 m","0"
"(2023 RW9)","2023-Sep-11 05:34 ± < 00:01","0.10232","0.10200","18.11","18.11","22.0","100 m -  230 m","0"
"(2020 RS1)","2023-Sep-11 11:26 ± 5_14:14","0.05437","0.00397","9.52","9.51","27.0","10 m -   23 m","0"
"(2001 QM142)","2023-Sep-11 12:31 ± < 00:01","0.10557","0.10557","15.40","15.40","22.5","83 m -  180 m","0"
"(2023 RU)","2023-Sep-11 15:07 ±    00:02","0.02716","0.02687","20.26","20.26","25.7","19 m -   43 m","0"
"(2023 RK)","2023-Sep-11 16:56 ± < 00:01","0.04080","0.04058","9.38","9.37","25.9","17 m -   39 m","0"
"(2023 XS16)","2023-Sep-11 18:03 ±    00:02","0.11545","0.11545","11.02","11.02","21.4","140 m -  310 m","0"
"(2021 QE2)","2023-Sep-11 23:09 ± < 00:01","0.11445","0.11444","9.69","9.68","24.5","34 m -   75 m","0"
"(2023 RG9)","2023-Sep-11 23:53 ± < 00:01","0.03820","0.03794","5.68","5.67","25.8","19 m -   42 m","0"
"(2023 SH)","2023-Sep-12 05:20 ±    00:04","0.01198","0.01189","8.46","8.43","27.5","8.3 m -   19 m","0"
"(2023 RC1)","2023-Sep-12 05:55 ± < 00:01","0.00805","0.00803","5.07","5.01","28.8","4.7 m -   10 m","0"
"(2020 RT2)","2023-Sep-12 06:29 ± 1_07:53","0.02814","0.01289","10.03","10.02","28.2","6.0 m -   13 m","0"
"(2023 RO1)","2023-Sep-12 07:35 ± < 00:01","0.01678","0.01669","12.41","12.40","26.1","16 m -   36 m","0"
"(2023 RA2)","2023-Sep-12 13:36 ± < 00:01","0.06638","0.06599","8.78","8.78","25.6","21 m -   46 m","0"
"(2023 SE3)","2023-Sep-12 18:53 ±    00:13","0.06933","0.06815","5.00","5.00","25.7","19 m -   43 m","0"
"(2023 RG6)","2023-Sep-12 19:38 ±    00:06","0.17150","0.16977","14.83","14.83","24.2","38 m -   86 m","0"
"(2006 RH2)","2023-Sep-12 21:14 ± 1_23:58","0.06793","0.02924","6.94","6.94","27.2","9.7 m -   22 m","0"
"(2023 SB3)","2023-Sep-12 22:45 ±    00:05","0.02926","0.02884","8.29","8.28","27.3","9.1 m -   20 m","0"
"(2023 RO3)","2023-Sep-13 00:21 ±    00:28","0.05302","0.05240","7.43","7.42","25.2","24 m -   55 m","0"
"(2023 SN3)","2023-Sep-13 02:20 ±    00:03","0.06948","0.06813","7.87","7.87","24.4","36 m -   80 m","0"
"(2023 RR)","2023-Sep-13 02:49 ±    00:03","0.04452","0.04407","21.16","21.16","24.3","36 m -   81 m","0"
"(2011 EE17)","2023-Sep-13 03:27 ± < 00:01","0.14391","0.14390","14.79","14.79","22.6","82 m -  180 m","0"
"(2023 RH2)","2023-Sep-13 04:34 ± < 00:01","0.02901","0.02844","21.47","21.47","24.0","43 m -   96 m","0"
"(2023 SS4)","2023-Sep-13 08:51 ±    00:06","0.01241","0.01231","11.82","11.80","27.1","10 m -   23 m","0"
"(2023 SV1)","2023-Sep-13 11:07 ±    00:05","0.01607","0.01599","19.69","19.69","24.1","40 m -   89 m","1"
"(2023 RE4)","2023-Sep-13 11:17 ± < 00:01","0.02449","0.02436","8.84","8.83","26.8","11 m -   26 m","0"
"(2023 SE)","2023-Sep-13 11:26 ± < 00:01","0.02232","0.02224","13.59","13.58","25.8","18 m -   41 m","0"
"(2020 GN3)","2023-Sep-13 12:58 ± < 00:01","0.11731","0.11731","8.30","8.29","19.3","380 m -  840 m","1"
"(2023 RR5)","2023-Sep-13 13:11 ± < 00:01","0.00139","0.00139","13.79","13.65","28.8","4.7 m -   11 m","0"
"(2023 SL1)","2023-Sep-13 16:30 ± < 00:01","0.01425","0.01418","13.77","13.75","25.6","21 m -   46 m","0"
"(2023 RC4)","2023-Sep-13 18:32 ± < 00:01","0.03350","0.03334","7.58","7.57","26.6","13 m -   29 m","0"
"(2023 SG)","2023-Sep-13 20:38 ±    00:02","0.02515","0.02502","8.44","8.42","26.6","13 m -   28 m","0"
"(2023 RR2)","2023-Sep-13 22:50 ±    00:01","0.08649","0.08471","15.04","15.04","25.1","26 m -   58 m","0"
"518640 (2008 KZ5)","2023-Sep-14 00:06 ± < 00:01","0.08367","0.08367","8.45","8.45","20.1","260 m -  580 m","1"
"(2023 RA10)","2023-Sep-14 06:27 ± < 00:01","0.00888","0.00886","4.24","4.17","28.8","4.6 m -   10 m","0"
"(2015 FT117)","2023-Sep-14 07:35 ± 8_18:13","0.15508","0.02833","14.76","14.76","28.4","5.6 m -   12 m","0"
"(2020 HV4)","2023-Sep-14 09:58 ± < 00:01","0.16901","0.16901","8.54","8.54","23.4","57 m -  130 m","0"
"(2023 RZ7)","2023-Sep-14 11:26 ± < 00:01","0.02531","0.02523","11.89","11.88","23.9","44 m -   98 m","0"
"(2023 RL6)","2023-Sep-14 12:13 ± < 00:01","0.02195","0.02191","9.17","9.15","25.7","19 m -   43 m","0"
"(2023 SS5)","2023-Sep-14 13:57 ±    05:59","0.00857","0.00755","9.97","9.94","28.3","5.9 m -   13 m","0"
"(2023 SV7)","2023-Sep-14 14:46 ±    00:02","0.01138","0.01136","2.25","2.15","28.9","4.4 m -  9.7 m","0"
"(2023 RE5)","2023-Sep-14 15:42 ± < 00:01","0.00589","0.00586","13.62","13.59","27.3","9.3 m -   21 m","0"
"(2023 SA4)","2023-Sep-14 16:40 ±    00:12","0.03353","0.03313","4.10","4.08","27.3","9.3 m -   21 m","0"
"(2023 TK10)","2023-Sep-14 16:51 ±    00:10","0.12826","0.12766","7.35","7.35","23.1","65 m -  140 m","0"
"(2023 SL4)","2023-Sep-14 17:20 ±    00:02","0.01345","0.01334","7.01","6.98","26.8","12 m -   27 m","0"
"(2022 SY11)","2023-Sep-14 17:35 ±    10:19","0.17396","0.15769","14.31","14.31","24.4","35 m -   78 m","0"
